sku,name,type,price,description
BEV-001,tangaroo,beverage,600,mango and tangerine smoothie
BEV-002,chai and mighty,beverage,500,spiced chai latte
BEV-003,vanilla ice,beverage,600,iced vanilla latte
BEV-004,for richer or pourover,beverage,700,pourover coffee
BEV-005,adele-ade,beverage,400,lemonade
JAF-001,nutellaphone who dis?,jaffle,1100,nutella and banana jaffle
JAF-002,doctor stew,jaffle,1100,house-made beef stew jaffle
JAF-003,the krautback,jaffle,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut
JAF-004,flame impala,jaffle,1400,"pineapple, ham and aleppo chilli jaffle"
JAF-005,mel-bun,jaffle,1200,melon and minted-ricotta jaffle
